gene,beta,HR (95% CI for HR),wald.test,p.value
212395_s_at,0.10621788214923539,1.1120641490390226 (0.7225202979918606 - 1.711628967400743),0.48276872961618145,0.6292599563062391
212396_s_at,0.0543908910745282,1.0558972623126963 (0.7013577954163169 - 1.5896579974528484),0.26056438573991575,0.7944284571722119
212397_at,0.029871295037315664,1.0303219178755332 (0.7193038937866365 - 1.475820252920253),0.16292712107772292,0.8705758166070394
212398_at,0.04091558900119882,1.0417641654802539 (0.7012860156376526 - 1.5475462967730402),0.20263311911383577,0.8394218016662045
212399_s_at,-0.13206907811147062,0.8762804611892364 (0.5315573382663624 - 1.4445618400573073),-0.5178305973751726,0.6045764682302892
212400_at,0.07825439215112352,1.0813977227744418 (0.6512984715642541 - 1.7955224614808247),0.3024915005375571,0.7622774117638265
212401_s_at,-0.046331354185256725,0.9547255574633573 (0.5277545777414463 - 1.7271302391625567),-0.15318644508644383,0.8782512467630441
212402_at,-0.2430510971884357,0.7842314407260512 (0.5141378427822124 - 1.1962141306213452),-1.1282732885892985,0.25920452069967537
212403_at,-0.14327877376274298,0.8665124742790149 (0.49581572132602963 - 1.514360750952094),-0.5030185057333546,0.6149512613545424
212404_s_at,0.2303163467621224,1.2589982269514381 (0.903496890144877 - 1.7543796251614054),1.360497777922988,0.1736724555929385
212405_s_at,0.07678155701426405,1.0798061745432028 (0.6559448564934126 - 1.7775600540795389),0.3019079825276582,0.7627222103699057
212406_s_at,0.2234476354888179,1.2503801630161093 (0.8708911555173503 - 1.7952307152957925),1.2108553455023563,0.22595084927374381
212407_at,-0.15063400905179372,0.8601624527288075 (0.4899477861163638 - 1.510118967878579),-0.524565493122157,0.5998852800201864
212408_at,-0.6667852210108449,0.5133562548106855 (0.2751214976974694 - 0.9578845948383241),-2.09516606445708,0.036156232814133216
212409_s_at,-0.09523542850820586,0.9091588673546062 (0.5482644135826471 - 1.5076117026970066),-0.36906281205125846,0.7120809069714168
212410_at,-0.515157193767163,0.5974066786305847 (0.4075045911814279 - 0.87580544463984),-2.6393946017719334,0.008305424451195332
212411_at,0.3764266852929433,1.457068710942504 (0.7419492825022322 - 2.861447916288352),1.0931716845265202,0.27431842676008955
212412_at,-0.2299261096852627,0.7945923130103345 (0.4873466890395243 - 1.295539619114778),-0.9218446321782767,0.35660962301901933
212413_at,0.1591406893616701,1.1725028937609754 (0.7943494869079373 - 1.7306778169256776),0.8010582781243311,0.4230979082943995
212414_s_at,0.009120398721188548,1.009162116288102 (0.6928958075449828 - 1.4697854509459785),0.047542131117621636,0.9620811525039534
212415_at,0.030399506602947077,1.0308662895879388 (0.727364053982198 - 1.4610088320845356),0.17085520587978476,0.8643376191933527
212416_at,0.0045200235078174935,1.0045302542226224 (0.6391993760075159 - 1.5786639811061103),0.0195971887586186,0.984364706449343
212417_at,-0.01564098825374026,0.9844806967523971 (0.7351667935355853 - 1.3183433348736686),-0.10497945494009304,0.9163921112087524
212418_at,-0.33348404034637696,0.7164233324169575 (0.48185186214607273 - 1.0651871073932337),-1.647906798582792,0.099371798096187
212419_at,-0.08499328782582549,0.9185184496365827 (0.6816700221805899 - 1.237660620051856),-0.5586005503296567,0.5764343643545873
212420_at,-0.1404143462555126,0.8689980946858997 (0.5701718361831278 - 1.324438775550433),-0.6530730995962122,0.5137091535416802
212421_at,0.13858604114651604,1.1486485083531355 (0.6711034821357305 - 1.9660058856244114),0.5054234551263027,0.613261448256434
212422_at,-0.12006230650526385,0.8868651775258201 (0.43527663010306944 - 1.8069654760046765),-0.33063662986568726,0.7409189742898922
212423_at,-0.07849243936991301,0.9245090497760667 (0.6726837734674145 - 1.2706074039992423),-0.4838000109421947,0.628527807312916
212424_at,-0.18649905183657675,0.8298593487932538 (0.4918140664611657 - 1.4002579140016145),-0.6987051224748252,0.48473633202272004
212425_at,0.3139975574924143,1.3688863930278934 (0.8467369639315782 - 2.2130248670333654),1.2811649453080356,0.20013573603387746
212426_s_at,0.6908098632323099,1.9953308241432095 (1.107715205550611 - 3.5941955818842586),2.3006604200164427,0.021410832962649676
212427_at,0.04857501928286696,1.0497741221682082 (0.7295995199475638 - 1.5104528956560095),0.26167195186520964,0.7935743664180637
212428_at,-0.6785914617980637,0.507331084548084 (0.28781619122676977 - 0.8942680682823092),-2.3463599646381033,0.01895778855378124
212429_s_at,0.20024574863668546,1.2217029531075703 (0.5692608070664912 - 2.62192318020837),0.5139371627999532,0.6072959240316719
212430_at,0.3128068986486219,1.3672574862664457 (0.8618233930450594 - 2.1691138217385344),1.3284389354436714,0.18403314406146812
212431_at,-0.0188629015763068,0.9813138896082639 (0.6070938745013899 - 1.5862076531887253),-0.07698858613853116,0.9386326249593786
212432_at,0.12547876655588505,1.1336910965384153 (0.7519781495917877 - 1.7091660217363722),0.5990689918694755,0.5491268783705948
212433_x_at,-0.4553062486417091,0.6342536988686481 (0.30097953520637605 - 1.336561817243579),-1.1971770319944544,0.23123756011986535
212434_at,0.29630438665586456,1.3448794578967316 (0.8051544518179254 - 2.2464022302662734),1.1320019762803915,0.25763360355069126
212435_at,-0.10115445430357788,0.9037934273204064 (0.6164496062058488 - 1.325075968975153),-0.518156099032536,0.6043493620544467
212436_at,0.2298778591825156,1.2584462928831333 (0.8038412809418332 - 1.970148970473063),1.005178185017036,0.3148110575796497
212437_at,0.15239881259510174,1.1646246107901346 (0.7855387538629813 - 1.7266499932537454),0.758527409744046,0.44813531049030997
212438_at,0.21305852966300645,1.2374570770697564 (0.6706990400077179 - 2.2831403151738585),0.6817822282675845,0.4953766633810194
212439_at,-0.13324459658270682,0.8752509825252659 (0.5461755896691741 - 1.4025970711643463),-0.5537979912915496,0.5797171031677739
212440_at,0.4209610098874969,1.5234248787433493 (0.7291247575959782 - 3.1830264121413916),1.1196911397036882,0.2628454020503496
212441_at,-0.15564263099684333,0.8558649953453777 (0.577656580880156 - 1.268062919220015),-0.7759558940179345,0.43777502845373095
212442_s_at,-0.03409760458384395,0.9664771674319879 (0.6918350172470706 - 1.3501457600169107),-0.1999044139903931,0.8415553382576575
212443_at,-0.07470748236373478,0.9280149073560174 (0.6684501058791161 - 1.2883709056225967),-0.44629748753307347,0.6553823708943415
212444_at,0.09532841286263659,1.1000200565469884 (0.9248234634597217 - 1.308405520204819),1.0770081259326356,0.28147663544701257
212445_s_at,-0.06870016536207396,0.9336065657029956 (0.660323643888843 - 1.3199909280705209),-0.3887961841169759,0.697426923824429
212446_s_at,-0.20044846825828258,0.8183636606439514 (0.5868442486062094 - 1.1412211718069858),-1.1814009822381828,0.23744346801879157
212447_at,-0.21477804749488305,0.8067204739382158 (0.3501258174982882 - 1.858754454958984),-0.5043308645801218,0.6140288918172478
212448_at,-0.05063426646103364,0.9506262828764767 (0.7933080682762943 - 1.1391417355165594),-0.5485693317393036,0.5833010371879993
212449_s_at,0.26975545546633756,1.3096441452536018 (0.8793555290253077 - 1.950482746265504),1.3273474956674571,0.18439375927107848
212450_at,0.155284103434815,1.1679897438706441 (0.6870029448366574 - 1.9857266290341256),0.573489333328798,0.5663134193154424
