gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
201195_s_at,0.2704839382538431,1.3105985460612495 (1.072889890899094 - 1.600973747174032),2.6489972325049833,0.008073099273417934,SLC7A5,1.3105985460612495,1.072889890899094,1.600973747174032
201519_at,0.780884814590249,2.1834033181727435 (1.2250053894809727 - 3.8916155722609527),2.6482113172344146,0.008091892668601596,TOMM70A,2.1834033181727435,1.2250053894809727,3.8916155722609527
217528_at,0.11520359186093938,1.1221018651250383 (1.03035693455336 - 1.222015937868066),2.647120296191071,0.00811804690306566,CLCA2,1.1221018651250383,1.03035693455336,1.222015937868066
220651_s_at,0.22343104459255853,1.2503594182606275 (1.0596942992017353 - 1.4753298909041586),2.6468134082769454,0.008125417321595243,MCM10,1.2503594182606275,1.0596942992017353,1.4753298909041586
214142_at,0.30095405987873114,1.351147268242844 (1.0811509569244524 - 1.6885698789680368),2.645963816759629,0.008145852914888502,ZG16,1.351147268242844,1.0811509569244524,1.6885698789680368
221436_s_at,0.3161760875401096,1.3718718038898916 (1.0851728562250056 - 1.7343156304656724),2.6433296635679566,0.008209506091431404,CDCA3,1.3718718038898916,1.0851728562250056,1.7343156304656724
208394_x_at,0.44841756463234017,1.565832395391566 (1.122692597723289 - 2.1838846140339423),2.6417639841545624,0.008247550629926137,ESM1,1.565832395391566,1.122692597723289,2.1838846140339423
215348_at,0.30736767557278555,1.3598408564337658 (1.082284992803656 - 1.7085769156202155),2.638842263702453,0.0083189678055799,ADCY1,1.3598408564337658,1.082284992803656,1.7085769156202155
214740_at,0.4611380580222654,1.5858777793175807 (1.1253711002207512 - 2.2348257658650734),2.6348325415951077,0.008417880156055716,POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,1.5858777793175807,1.1253711002207512,2.2348257658650734
202627_s_at,0.31305143952172004,1.367591877490382 (1.083406579211413 - 1.7263210130577409),2.634011290251304,0.008438268199122351,SERPINE1,1.367591877490382,1.083406579211413,1.7263210130577409
201741_x_at,0.34600629368281893,1.4134115113534294 (1.0921350879546614 - 1.8291987158545708),2.6298342512605704,0.008542650707764684,SRSF1,1.4134115113534294,1.0921350879546614,1.8291987158545708
211652_s_at,0.21151262676400023,1.235545566472485 (1.0551477171391612 - 1.4467859068764655),2.6265745590918703,0.008624909485834912,LBP,1.235545566472485,1.0551477171391612,1.4467859068764655
210235_s_at,0.4150332926013676,1.5144211588727126 (1.11045602220376 - 2.065341986159751),2.621812900531541,0.008746343274641754,PPFIA1,1.5144211588727126,1.11045602220376,2.065341986159751
210706_s_at,0.6543217128681539,1.9238371607332099 (1.1793039788638293 - 3.138418497140828),2.620461943301665,0.00878107303896696,RNF24,1.9238371607332099,1.1793039788638293,3.138418497140828
208836_at,0.5341709620654117,1.7060332894958348 (1.1440345530802511 - 2.5441098584229653),2.619944943252445,0.008794396395699471,ATP1B3,1.7060332894958348,1.1440345530802511,2.5441098584229653
204794_at,0.2773785144569129,1.3196657890899832 (1.0721516742136 - 1.624320361362914),2.617347972421211,0.008861595279523782,DUSP2,1.3196657890899832,1.0721516742136,1.624320361362914
221222_s_at,0.6126522570922456,1.8453191749661313 (1.1660115792889434 - 2.9203851127912834),2.615710120995361,0.008904211618780354,C1orf56,1.8453191749661313,1.1660115792889434,2.9203851127912834
200709_at,0.7044915621305385,2.0228179461727795 (1.1919357720742438 - 3.432896754359504),2.610596467049367,0.009038447614697192,FKBP1A /// LOC101929368,2.0228179461727795,1.1919357720742438,3.432896754359504
200675_at,0.8377459020906993,2.311151539083446 (1.2318753164830478 - 4.336008169931771),2.609552252483305,0.009066079907007899,CD81,2.311151539083446,1.2318753164830478,4.336008169931771
204995_at,0.3432069115559107,1.409460365394545 (1.0886314581943284 - 1.8248402677185047),2.6043779585068894,0.009204119391246617,CDK5R1,1.409460365394545,1.0886314581943284,1.8248402677185047
221547_at,0.6468352588787649,1.9094882207038169 (1.1732205957036679 - 3.1078087772741183),2.6027899420523015,0.009246858977318678,PRPF18,1.9094882207038169,1.1732205957036679,3.1078087772741183
221741_s_at,0.9131347256921454,2.492122421926161 (1.2527997272530522 - 4.957435758295487),2.6022552293952748,0.009261289943463868,YTHDF1,2.492122421926161,1.2527997272530522,4.957435758295487
203579_s_at,0.63508049109003,1.8871740360408127 (1.169288405071443 - 3.045806173104889),2.600320788642277,0.00931366515623622,SLC7A6,1.8871740360408127,1.169288405071443,3.045806173104889
208433_s_at,0.3974748597987727,1.4880623833088051 (1.1024642241621563 - 2.008527449769641),2.597420230359651,0.009392693392573058,LRP8,1.4880623833088051,1.1024642241621563,2.008527449769641
204433_s_at,0.3392842079092668,1.403942300022805 (1.0866475244734939 - 1.8138853100027499),2.5957017483649527,0.009439796618376812,SPATA2,1.403942300022805,1.0866475244734939,1.8138853100027499
212533_at,0.533521038247033,1.7049248580630558 (1.139549049978781 - 2.5508061910063953),2.5954630535564616,0.009446355830187294,WEE1,1.7049248580630558,1.139549049978781,2.5508061910063953
217234_s_at,0.5597117696814293,1.750167976116703 (1.146684302784036 - 2.6712565413057123),2.594414334388572,0.009475222289849039,EZR,1.750167976116703,1.146684302784036,2.6712565413057123
205293_x_at,0.2849973746120976,1.329758536984915 (1.071282285729892 - 1.6505992773692715),2.584352212926638,0.009756210622365046,BAIAP2,1.329758536984915,1.071282285729892,1.6505992773692715
204617_s_at,0.634010722556727,1.8851562761006635 (1.1649391298254828 - 3.0506436725617676),2.581612401112806,0.009833996207898195,ACD,1.8851562761006635,1.1649391298254828,3.0506436725617676
201015_s_at,0.4950280568006162,1.6405442668347414 (1.126585494037031 - 2.3889758084847785),2.581539271340977,0.009836079974888372,JUP,1.6405442668347414,1.126585494037031,2.3889758084847785
204444_at,0.3787968237857246,1.460526261399068 (1.0947097246414241 - 1.9485868374240072),2.5751251952829293,0.010020380923969022,KIF11,1.460526261399068,1.0947097246414241,1.9485868374240072
213959_s_at,0.6104803788400779,1.8413157154687336 (1.156200364247062 - 2.932401397607283),2.571273086202193,0.010132539228251181,RPGRIP1L,1.8413157154687336,1.156200364247062,2.932401397607283
205568_at,0.22948210705932204,1.257948358626568 (1.0560365416090431 - 1.498465261969232),2.570749981135664,0.0101478558847165,AQP9,1.257948358626568,1.0560365416090431,1.498465261969232
211111_at,0.31664933531144857,1.3725211928124554 (1.077799275083594 - 1.7478341916431672),2.567435646645601,0.010245380459247019,HGC6.3,1.3725211928124554,1.077799275083594,1.7478341916431672
216338_s_at,0.5143551652367361,1.6725596293950327 (1.129005199712127 - 2.477805872457755),2.5650654551295737,0.01031563430490408,YIPF3,1.6725596293950327,1.129005199712127,2.477805872457755
217237_at,0.2679050371661159,1.3072229965202522 (1.0650657963722916 - 1.604437930925789),2.5630310588715766,0.010376276579549308,ADAM3B /// ADAM3B,1.3072229965202522,1.0650657963722916,1.604437930925789
205863_at,0.49602250786906604,1.6421765192968214 (1.123177911244385 - 2.4009942623800917),2.559324953474454,0.010487565787003376,S100A12,1.6421765192968214,1.123177911244385,2.4009942623800917
214941_s_at,0.7623035356132826,2.143207493422612 (1.1931522431878534 - 3.8497504288223903),2.5509224245722444,0.010743823691677262,PRPF40A,2.143207493422612,1.1931522431878534,3.8497504288223903
214771_x_at,0.8827575513939978,2.4175570610436017 (1.2260641905760055 - 4.7669462890486916),2.5483131207935656,0.010824526512384122,MPRIP,2.4175570610436017,1.2260641905760055,4.7669462890486916
219068_x_at,0.6953526960752343,2.004415898907334 (1.1735197707801095 - 3.42361773174192),2.5457713347707625,0.010903658749528677,ATAD3A /// ATAD3B,2.004415898907334,1.1735197707801095,3.42361773174192
